1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,label
23,207.0,284.0,334.0,411.0,369.0,188.0,119.0,161.0,211.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E
326,334.0,311.0,419.0,419.0,403.0,242.0,353.0,373.0,273.0,234.0,311.0,434.0,315.0,273.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E
361,323.0,419.0,461.0,392.0,434.0,407.0,384.0,284.0,238.0,361.0,334.0,203.0,273.0,253.0,169.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E
196,223.0,284.0,338.0,438.0,357.0,307.0,357.0,373.0,365.0,338.0,311.0,257.0,261.0,296.0,357.0,184.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E
323,388.0,365.0,273.0,388.0,338.0,207.0,223.0,319.0,353.0,273.0,215.0,319.0,319.0,234.0,242.0,361.0,376.0,384.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,E
392,369.0,361.0,388.0,469.0,365.0,373.0,338.0,353.0,342.0,373.0,296.0,269.0,319.0,346.0,157.0,332.0,376.0,359.0,153.5,0.0,0.0,0.0,0.0,0.0,0.0,E
338,392.0,365.0,338.0,307.0,446.0,303.0,346.0,353.0,292.0,261.0,415.0,376.0,173.0,207.0,207.0,303.0,376.0,334.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,E
265,273.0,296.0,288.0,165.0,223.0,403.0,323.0,434.0,323.0,292.0,334.0,388.0,369.0,396.0,496.0,411.0,331.0,289.75,176.5,0.0,0.0,0.0,0.0,0.0,0.0,E
323,311.0,376.0,415.0,415.0,226.0,334.0,369.0,423.0,465.0,384.0,319.0,303.0,292.0,253.0,392.0,276.5,286.0,245.5,188.0,0.0,0.0,0.0,0.0,0.0,0.0,E
388,453.0,384.0,407.0,334.0,315.0,346.0,288.0,384.0,361.0,361.0,388.0,361.0,319.0,453.0,288.0,142.0,241.0,201.25,199.5,0.0,0.0,0.0,0.0,0.0,0.0,E
346,326.0,388.0,369.0,261.0,326.0,315.0,415.0,461.0,423.0,292.0,453.0,453.0,361.0,315.0,419.0,219.0,196.0,157.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,E
326,307.0,253.0,215.0,342.0,242.0,461.0,484.0,311.0,215.0,357.0,346.0,273.0,288.0,76.0,246.0,236.0,242.0,189.0,222.5,0.0,0.0,0.0,0.0,0.0,0.0,E
234,353.0,261.0,284.0,457.0,488.0,423.0,323.0,257.0,161.0,273.0,361.0,353.0,446.0,392.0,319.0,253.0,288.0,221.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,E
315,284.0,323.0,261.0,323.0,373.0,203.0,176.0,257.0,284.0,192.0,138.0,296.0,311.0,96.0,146.0,234.0,153.0,253.0,245.5,0.0,0.0,0.0,0.0,0.0,0.0,E
288,215.0,307.0,226.0,284.0,315.0,346.0,338.0,373.0,284.0,353.0,346.0,323.0,176.0,223.0,319.0,326.0,173.0,296.0,257.0,334.0,0.0,0.0,0.0,0.0,0.0,E
369,361.0,323.0,342.0,465.0,438.0,469.0,438.0,315.0,384.0,323.0,223.0,207.0,226.0,203.0,255.5,274.5,170.33333333333334,285.0,265.0,324.4761904761905,0.0,0.0,0.0,0.0,0.0,E
276,273.0,342.0,373.0,373.0,465.0,392.0,419.0,434.0,226.0,284.0,326.0,173.0,307.0,323.0,192.0,223.0,167.66666666666666,274.0,273.0,314.95238095238096,0.0,0.0,0.0,0.0,0.0,E
323,292.0,357.0,388.0,323.0,284.0,238.0,265.0,265.0,296.0,419.0,292.0,365.0,196.0,292.0,269.0,238.0,165.0,263.0,281.0,305.42857142857144,0.0,0.0,0.0,0.0,0.0,E
288,261.0,219.0,226.0,357.0,388.0,292.0,434.0,311.0,326.0,376.0,376.0,288.0,261.0,296.0,426.0,365.0,392.0,252.0,289.0,295.9047619047619,0.0,0.0,0.0,0.0,0.0,E
442,388.0,476.0,484.0,342.0,465.0,338.0,326.0,261.0,265.0,346.0,211.0,257.0,292.0,426.0,426.0,327.6666666666667,358.6666666666667,241.0,297.0,286.3809523809524,0.0,0.0,0.0,0.0,0.0,E
376,476.0,315.0,384.0,319.0,376.0,369.0,419.0,211.0,323.0,388.0,403.0,246.0,253.0,389.5,370.5,290.3333333333333,325.3333333333333,230.0,305.0,276.8571428571429,0.0,0.0,0.0,0.0,0.0,E
407,246.0,226.0,307.0,253.0,161.0,215.0,365.0,357.0,446.0,423.0,311.0,353.0,369.0,353.0,315.0,253.0,292.0,219.0,313.0,267.3333333333333,0.0,0.0,0.0,0.0,0.0,E
246,192.0,146.0,288.0,296.0,257.0,284.0,192.0,269.0,338.0,396.0,369.0,338.0,292.0,234.0,273.0,342.0,265.0,165.0,321.0,257.8095238095238,0.0,0.0,0.0,0.0,0.0,E
288,338.0,257.0,311.0,353.0,296.0,284.0,269.0,492.0,453.0,384.0,246.0,265.0,442.0,296.0,338.0,192.0,240.0,193.16666666666666,329.0,248.28571428571428,0.0,0.0,0.0,0.0,0.0,E
338,319.0,319.0,253.0,196.0,265.0,326.0,142.0,188.0,276.0,319.0,146.0,311.0,242.0,107.0,26.0,161.0,215.0,221.33333333333334,337.0,238.76190476190476,0.0,0.0,0.0,0.0,0.0,E
196,426.0,292.0,307.0,296.0,246.0,265.0,238.0,238.0,238.0,326.0,361.0,361.0,296.0,173.0,96.66666666666667,186.66666666666666,238.0,249.5,345.0,229.23809523809524,0.0,0.0,0.0,0.0,0.0,E
365,311.0,369.0,315.0,357.0,384.0,442.0,334.0,265.0,319.0,292.0,357.0,223.0,234.5,223.0,167.33333333333334,212.33333333333334,261.0,277.6666666666667,353.0,219.71428571428572,0.0,0.0,0.0,0.0,0.0,E
153,253.0,315.0,434.0,415.0,407.0,369.0,342.0,357.0,196.0,219.0,242.0,88.0,173.0,273.0,238.0,238.0,284.0,305.83333333333337,361.0,210.1904761904762,0.0,0.0,0.0,0.0,0.0,E
323,384.0,353.0,288.0,357.0,273.0,342.0,288.0,426.0,453.0,369.0,265.0,369.0,411.0,284.0,326.0,211.0,307.0,334.0,369.0,200.66666666666666,0.0,0.0,0.0,0.0,0.0,E
496,496.0,361.0,374.5,376.5,228.5,269.0,242.0,355.0,345.5,338.0,295.5,376.5,347.2,274.3333333333333,305.5,196.83333333333334,276.8333333333333,323.0,349.7142857142857,191.14285714285714,0.0,0.0,0.0,0.0,0.0,E
438,392.0,369.0,461.0,396.0,184.0,196.0,196.0,284.0,238.0,307.0,326.0,384.0,283.4,264.6666666666667,285.0,182.66666666666666,246.66666666666666,312.0,330.42857142857144,181.61904761904762,0.0,0.0,0.0,0.0,0.0,E
442,469.0,384.0,419.0,219.0,311.0,246.0,192.0,269.0,229.0,262.3333333333333,271.0,350.6666666666667,219.60000000000002,255.0,264.5,168.5,216.5,301.0,311.14285714285717,172.0952380952381,0.0,0.0,0.0,0.0,0.0,E
57,394.0,370.5,401.5,315.0,309.0,265.0,238.0,257.5,220.0,217.66666666666669,216.0,317.3333333333333,155.8,245.33333333333334,244.0,154.33333333333334,186.33333333333331,290.0,291.8571428571429,162.57142857142858,0.0,0.0,0.0,0.0,0.0,E
57,319.0,357.0,384.0,411.0,307.0,284.0,284.0,246.0,211.0,173.0,161.0,284.0,92.0,235.66666666666669,223.5,140.16666666666669,156.16666666666666,279.0,272.57142857142856,153.04761904761904,0.0,0.0,0.0,0.0,0.0,E
419,434.0,423.0,357.0,426.0,496.0,388.0,476.0,357.0,253.0,111.0,103.0,176.0,192.0,226.0,203.0,126.0,126.0,268.0,253.28571428571428,143.52380952380952,0.0,0.0,0.0,0.0,0.0,E
219,315.0,273.0,407.0,426.0,415.0,346.0,403.0,407.0,373.0,376.0,338.0,176.0,157.0,284.0,184.0,184.0,176.0,257.0,234.0,134.0,0.0,0.0,0.0,0.0,0.0,E
215,326.0,361.0,307.0,234.0,319.0,388.0,303.0,319.0,323.0,138.0,261.0,423.0,465.0,373.0,373.0,484.0,191.875,254.625,241.25,159.5,0.0,0.0,0.0,0.0,0.0,E
323,334.0,284.0,157.0,157.0,134.0,265.0,176.0,488.0,346.0,211.0,259.0,324.5,374.5,348.0,353.5,372.5,207.75,252.25,248.5,185.0,0.0,0.0,0.0,0.0,0.0,E
388,334.0,176.0,76.0,103.0,23.0,253.0,319.0,442.0,369.0,284.0,257.0,226.0,284.0,323.0,334.0,261.0,223.625,249.875,255.75,210.5,0.0,0.0,0.0,0.0,0.0,E
326,396.0,376.0,453.0,438.0,369.0,303.0,269.0,76.0,238.0,415.0,376.0,303.0,34.0,157.0,111.0,285.3333333333333,239.5,247.5,263.0,236.0,0.0,0.0,0.0,0.0,0.0,E
442,457.0,453.0,415.0,286.0,257.5,270.5,217.0,134.0,153.5,234.0,222.5,157.0,97.5,140.0,149.5,309.6666666666667,255.375,245.125,270.25,261.5,0.0,0.0,0.0,0.0,0.0,E
