1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,label
84,188,42.0,388.0,288.0,434.0,403.0,426.0,157.0,284.0,42.0,369.0,142.0,469.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
223,423,176.0,219.0,311.0,196.0,319.0,76.0,273.0,11.0,311.0,219.0,496.0,261.0,273.0,34.0,323.0,115.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
407,476,323.0,396.0,288.0,338.0,219.0,126.0,334.0,307.0,411.0,253.0,365.0,234.0,234.0,103.0,276.0,215.0,365.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
238,246,334.0,307.0,388.0,384.0,323.0,423.0,292.0,423.0,176.0,353.0,184.0,257.0,111.0,161.0,188.0,226.5,226.5,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
326,423,207.0,361.0,215.0,353.0,69.0,38.0,107.0,323.0,392.0,453.0,384.0,453.0,326.0,442.0,242.0,238.0,88.0,142.0,84.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
257,323,465.0,407.0,465.0,376.0,338.0,338.0,326.0,126.0,115.0,53.0,134.0,123.0,284.0,265.0,273.0,146.0,130.5,151.5,122.5,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
438,253,246.0,92.0,134.0,7.0,53.0,38.0,119.0,342.0,357.0,484.0,415.0,388.0,153.0,111.0,92.0,11.0,173.0,161.0,161.0,134.0,276.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,A
242,188,88.0,126.0,69.0,142.0,34.0,284.0,365.0,342.0,392.0,203.0,353.0,196.0,326.0,315.0,215.0,157.0,119.0,175.0,115.0,180.33333333333334,246.42857142857142,265.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,A
296,442,334.0,484.0,376.0,361.0,365.0,423.0,411.0,303.0,426.0,284.0,365.0,226.0,319.0,242.0,246.0,65.0,57.0,189.0,69.0,226.66666666666669,216.85714285714286,235.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,A
303,376,273.0,315.0,296.0,465.0,407.0,461.0,269.0,338.0,203.0,326.0,207.0,234.0,384.0,211.0,353.0,253.0,34.0,203.0,23.0,273.0,187.28571428571428,205.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,A
192,334,84.0,153.0,111.0,65.0,226.0,69.0,407.0,296.0,388.0,196.0,376.0,203.0,346.0,138.0,353.0,361.0,153.0,196.0,78.75,252.75,157.71428571428572,174.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,A
415,373,307.0,492.0,353.0,415.0,242.0,353.0,115.0,261.0,126.0,219.0,57.0,11.0,146.0,65.0,138.0,339.3333333333333,177.33333333333334,221.66666666666666,134.5,232.5,128.14285714285714,144.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,A
146,38,126.0,196.0,307.0,284.0,442.0,376.0,453.0,319.0,365.0,346.0,326.0,226.0,296.0,196.0,107.0,317.6666666666667,201.66666666666666,247.33333333333334,190.25,212.25,98.57142857142856,114.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,A
261,257,234.0,203.0,138.0,188.0,265.0,288.0,303.0,384.0,338.0,365.0,284.0,338.0,369.0,361.0,288.0,296.0,226.0,273.0,246.0,192.0,69.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,A
226,207,215.0,276.0,307.0,326.0,326.0,315.0,338.0,319.0,288.0,303.0,257.0,326.0,261.0,303.0,226.0,269.0,269.0,273.0,115.0,115.0,132.5,87.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,A
257,234,323.0,257.0,257.0,326.0,203.0,396.0,223.0,257.0,184.0,265.0,211.0,315.0,365.0,261.0,261.0,338.0,223.0,357.0,223.0,188.0,196.0,90.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,A
384,415,288.0,438.0,276.0,373.0,253.0,396.0,415.0,303.0,434.0,192.0,326.0,192.0,307.0,203.0,342.0,96.0,165.0,84.0,246.0,153.0,198.33333333333334,94.0,0.0,0.0,0.0,0.0,0.0,0.0,A
246,196,396.0,388.0,457.0,492.0,423.0,323.0,446.0,273.0,419.0,253.0,376.0,234.0,346.0,176.0,265.0,57.0,103.0,38.0,230.6,153.9090909090909,200.66666666666666,97.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,A
