1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,label
257,419,357.0,223.0,203.0,284.0,219.0,307.0,257.0,196.0,69.0,192.0,338.0,396.0,423.0,376.0,438.0,384.0,392.0,376.0,326.0,292.0,0.0,B
407,388,369.0,484.0,438.0,369.0,238.0,134.0,265.0,269.0,411.0,415.0,461.0,492.0,383.0,336.3333333333333,371.3333333333333,335.3333333333333,362.3333333333333,307.0,269.6666666666667,266.3333333333333,0.0,B
311,307,342.0,453.0,361.0,426.0,326.0,265.0,361.0,238.0,234.0,196.0,196.0,292.0,343.0,296.6666666666667,304.66666666666663,286.6666666666667,332.6666666666667,238.0,213.33333333333331,240.66666666666666,0.0,B
226,203,223.0,323.0,384.0,338.0,223.0,238.0,238.0,157.0,284.0,226.0,319.0,319.0,303.0,257.0,238.0,238.0,303.0,169.0,157.0,215.0,238.0,B
234,276,257.0,384.0,461.0,419.0,446.0,361.0,357.0,296.0,461.0,369.0,346.0,273.0,288.0,342.0,253.0,342.0,284.0,246.0,186.0,259.0,276.5,B
338,376,361.0,357.0,384.0,357.0,326.0,342.0,315.0,296.0,426.0,434.0,442.0,465.0,373.0,273.0,326.0,261.0,242.0,323.0,215.0,303.0,315.0,B
342,346,346.0,307.0,415.0,319.0,373.0,461.0,388.0,453.0,353.0,457.0,319.0,292.0,292.0,273.0,261.0,223.0,196.0,257.0,346.0,442.0,415.0,B
415,376,357.0,319.0,319.0,396.0,457.0,438.0,419.0,411.0,442.0,473.0,384.0,365.0,276.0,292.0,361.0,234.0,323.0,226.0,319.0,169.0,257.0,B
346,373,396.0,438.0,469.0,438.0,373.0,303.0,311.0,292.0,292.0,253.0,265.0,176.0,369.0,278.5,363.0,253.5,315.0,270.5,267.0,205.5,245.5,B
311,196,173.0,134.0,203.0,296.0,365.0,311.0,284.0,411.0,407.0,373.0,376.0,392.0,384.0,265.0,365.0,273.0,307.0,315.0,215.0,242.0,234.0,B
334,326,361.0,261.0,261.0,334.0,307.0,253.0,453.0,461.0,388.0,426.0,469.0,453.0,434.0,384.0,403.0,284.0,269.0,223.0,342.0,357.0,346.0,B
346,292,434.0,407.0,373.0,292.0,246.0,238.0,357.0,426.0,446.0,419.0,392.0,388.0,369.0,361.0,411.0,238.0,319.0,323.0,192.0,319.0,273.0,B
334,457,446.0,384.0,403.0,338.0,315.0,303.0,307.0,269.0,215.0,107.0,57.0,223.0,388.0,411.0,426.0,319.0,319.0,369.0,247.5,340.6666666666667,274.0,B
296,392,284.0,365.0,407.0,426.0,446.0,453.0,373.0,365.0,415.0,296.0,311.0,357.0,307.0,396.0,411.0,296.0,292.0,342.0,303.0,362.3333333333333,275.0,B
257,353,361.0,315.0,357.0,392.0,307.0,396.0,373.0,426.0,396.0,342.0,269.0,338.0,303.0,307.0,369.0,353.0,365.0,311.0,369.0,384.0,276.0,B
319,296,315.0,226.0,173.0,192.0,253.0,261.0,423.0,353.0,338.0,346.0,361.0,369.0,61.0,215.0,392.0,355.0,349.5,286.0,346.0,311.0,251.0,B
