1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,label
238,203,242,173,234,292,438.0,426.0,465.0,365.0,476.0,461.0,469.0,415.0,338.0,261.0,338.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
365,365,338,207,315,273,215.0,269.0,296.0,315.0,338.0,353.0,307.0,338.0,257.0,315.0,223.0,292.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
269,311,276,261,246,323,173.0,342.0,373.0,361.0,415.0,334.0,226.0,288.0,238.0,334.0,269.0,230.5,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
396,326,215,223,338,338,269.0,288.0,411.0,361.0,411.0,261.0,388.0,253.0,284.0,376.0,315.0,169.0,234.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
257,326,369,269,292,292,253.0,365.0,361.0,376.0,369.0,388.0,319.0,242.0,238.0,211.0,265.0,261.0,261.0,218.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
342,346,311,307,315,311,346.0,161.0,226.0,253.0,284.0,442.0,342.0,369.0,357.0,292.0,373.0,353.0,288.0,240.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
257,296,296,219,211,292,392.0,369.0,357.0,334.0,253.0,419.0,365.0,446.0,415.0,476.0,319.0,321.0,284.0,262.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
246,319,265,292,353,188,276.0,161.0,173.0,169.0,319.0,253.0,365.0,342.0,323.0,315.0,265.0,289.0,280.0,284.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
288,303,284,257,223,215,115.0,115.0,319.0,238.0,326.0,357.0,384.0,253.0,273.0,315.0,192.0,257.0,276.0,307.0,261.0,323.0,311.0,369.0,0.0,0.0,0.0,C
311,284,319,334,303,169,169.0,215.0,257.0,311.0,73.0,257.0,326.0,292.0,326.0,257.0,231.66666666666666,299.3333333333333,301.6666666666667,322.3333333333333,263.6666666666667,299.6666666666667,302.0,343.3333333333333,0.0,0.0,0.0,C
207,269,242,246,307,342,296.0,142.0,246.0,353.0,419.0,423.0,353.0,338.0,370.5,326.5,271.3333333333333,341.6666666666667,327.3333333333333,337.6666666666667,266.3333333333333,276.3333333333333,293.0,317.6666666666667,0.0,0.0,0.0,C
353,361,334,303,296,384,334.0,315.0,261.0,226.0,257.0,311.0,319.0,384.0,415.0,396.0,311.0,384.0,353.0,353.0,269.0,253.0,284.0,292.0,0.0,0.0,0.0,C
261,223,276,257,261,223,203.0,276.0,334.0,392.0,296.0,303.0,373.0,307.0,307.0,374.5,376.5,415.0,386.0,325.0,261.3333333333333,250.5,283.6,292.21794871794873,0.0,0.0,0.0,C
296,357,373,261,288,292,219.0,276.0,338.0,269.0,407.0,388.0,423.0,334.0,392.0,353.0,442.0,446.0,419.0,297.0,253.66666666666666,248.0,283.2,292.43589743589746,0.0,0.0,0.0,C
311,265,326,307,315,303,292.0,165.0,215.0,107.0,142.0,242.0,373.0,369.0,388.0,353.0,442.0,442.0,334.0,269.0,246.0,245.5,282.8,292.65384615384613,0.0,0.0,0.0,C
307,288,315,188,303,303,357.0,269.0,361.0,403.0,346.0,353.0,361.0,357.0,319.0,261.0,392.0,284.0,330.0,288.0,248.71428571428572,243.0,282.4,292.87179487179486,0.0,0.0,0.0,C
269,276,338,334,307,288,334.0,261.0,357.0,403.0,457.0,419.0,496.0,384.0,419.0,338.0,323.0,261.0,326.0,307.0,251.42857142857142,240.5,282.0,293.0897435897436,0.0,0.0,0.0,C
261,296,246,342,211,311,342.0,319.0,384.0,365.0,376.0,392.0,353.0,407.0,376.0,377.6666666666667,340.6666666666667,286.0,325.4,313.2,254.14285714285714,238.0,281.6,293.3076923076923,0.0,0.0,0.0,C
276,284,338,265,246,253,242.0,269.0,357.0,396.0,373.0,323.0,319.0,269.0,426.0,417.3333333333333,358.3333333333333,311.0,324.8,319.4,256.85714285714283,235.5,281.2,293.52564102564105,0.0,0.0,0.0,C
207,196,269,303,284,284,407.0,361.0,369.0,365.0,361.0,192.0,276.0,357.0,403.0,457.0,376.0,336.0,324.2,325.6,259.57142857142856,233.0,280.8,293.7435897435897,0.0,0.0,0.0,C
296,326,246,269,276,246,269.0,384.0,426.0,392.0,353.0,376.0,373.0,484.0,438.0,426.0,284.0,361.0,323.6,331.8,262.2857142857143,230.5,280.4,293.96153846153845,0.0,0.0,0.0,C
323,342,234,323,261,242,196.0,211.0,226.0,161.0,123.0,338.0,338.0,346.0,342.0,388.0,307.0,207.0,323.0,338.0,265.0,228.0,280.0,294.1794871794872,0.0,0.0,0.0,C
376,323,415,315,353,207,288.0,288.0,284.0,192.0,296.0,311.0,396.0,411.0,415.0,442.0,442.0,384.0,423.0,415.0,373.0,225.5,279.6,294.3974358974359,0.0,0.0,0.0,C
284,338,203,311,265,211,196.0,184.0,273.0,334.0,442.0,465.0,492.0,473.0,419.0,419.0,246.0,215.0,192.0,153.0,356.3333333333333,223.0,279.2,294.61538461538464,0.0,0.0,0.0,C
142,126,215,184,288,426,438.0,334.0,369.0,288.0,342.0,234.0,323.0,284.0,361.0,380.5,256.0,267.6666666666667,226.66666666666666,169.875,339.6666666666667,220.5,278.8,294.8333333333333,0.0,0.0,0.0,C
407,311,303,311,261,292,253.0,257.0,265.0,273.0,334.0,315.0,276.0,342.0,303.0,342.0,266.0,320.3333333333333,261.3333333333333,186.75,323.0,218.0,278.4,295.05128205128204,0.0,0.0,0.0,C
238,276,342,269,303,323,257.0,303.0,357.0,373.0,407.0,407.0,396.0,369.0,234.0,319.0,276.0,373.0,296.0,203.625,306.3333333333333,215.5,278.0,295.2692307692308,0.0,0.0,0.0,C
323,365,284,292,326,273,246.0,334.0,269.0,419.0,419.0,469.0,438.0,419.0,461.0,346.0,342.0,353.5,303.5,220.5,289.66666666666663,213.0,277.6,295.4871794871795,0.0,0.0,0.0,C
276,346,223,319,257,273,219.0,411.0,388.0,369.0,396.0,411.0,334.0,384.0,319.0,234.0,303.0,334.0,311.0,237.375,273.0,210.5,277.2,295.70512820512823,0.0,0.0,0.0,C
338,284,284,242,296,226,257.0,438.0,392.0,296.0,357.0,419.0,469.0,223.0,315.0,346.0,299.5,318.5,318.5,254.25,256.3333333333333,208.0,276.8,295.9230769230769,0.0,0.0,0.0,C
319,226,292,307,396,346,246.0,269.0,188.0,215.0,238.0,407.0,373.0,492.0,384.0,453.0,296.0,303.0,326.0,271.125,239.66666666666666,205.5,276.4,296.14102564102564,0.0,0.0,0.0,C
226,19,107,215,338,438,407.0,326.0,323.0,342.0,303.0,403.0,461.0,434.0,469.0,396.0,423.0,376.0,365.0,288.0,223.0,203.0,276.0,296.35897435897436,0.0,0.0,0.0,C
223,265,376,307,373,319,423.0,407.0,423.0,384.0,376.0,323.0,446.0,384.0,369.0,403.0,415.0,438.0,338.0,315.0,223.0,230.0,274.25,296.5769230769231,0.0,0.0,0.0,C
323,238,219,196,246,219,165.0,173.0,384.0,292.0,246.0,242.0,323.0,388.0,388.0,415.0,361.0,353.0,311.0,342.0,223.0,257.0,272.5,296.79487179487177,0.0,0.0,0.0,C
319,261,234,188,142,207,273.0,373.0,284.0,338.0,334.0,307.0,319.0,303.0,311.0,296.0,257.0,242.0,273.0,313.0,223.0,284.0,270.75,297.0128205128205,0.0,0.0,0.0,C
346,326,261,184,223,226,226.0,288.0,261.0,415.0,384.0,411.0,426.0,326.0,261.0,296.0,253.0,242.0,296.0,284.0,223.0,311.0,269.0,297.2307692307692,0.0,0.0,0.0,C
246,319,261,288,296,207,242.0,288.0,276.0,407.0,334.0,257.0,276.0,253.0,238.0,323.0,319.0,288.0,338.0,353.0,334.0,306.0,269.7692307692308,297.44871794871796,0.0,0.0,0.0,C
346,246,265,184,365,419,376.0,407.0,365.0,357.0,407.0,288.0,423.0,365.0,365.0,361.0,365.0,265.0,339.3333333333333,334.0,326.3333333333333,301.0,270.53846153846155,297.6666666666667,0.0,0.0,0.0,C
269,311,176,238,365,361,315.0,323.0,346.0,269.0,284.0,261.0,257.0,323.0,311.0,361.0,273.0,284.0,340.6666666666667,315.0,318.6666666666667,296.0,271.3076923076923,297.88461538461536,0.0,0.0,0.0,C
296,169,246,207,315,276,223.0,238.0,426.0,292.0,396.0,323.0,396.0,223.0,319.0,265.0,288.0,303.0,342.0,296.0,311.0,291.0,272.0769230769231,298.1025641025641,0.0,0.0,0.0,C
303,388,296,284,211,219,153.0,284.0,376.0,376.0,376.0,307.0,357.0,184.0,307.0,288.0,284.0,319.0,329.0,293.3333333333333,303.3333333333333,286.0,272.84615384615387,298.3205128205128,0.0,0.0,0.0,C
96,111,253,234,334,292,346.0,273.0,303.0,411.0,323.0,292.0,257.0,253.0,284.0,328.5,280.0,338.0,316.0,290.6666666666667,295.6666666666667,281.0,273.61538461538464,298.53846153846155,0.0,0.0,0.0,C
353,284,265,246,157,261,257.0,257.0,173.0,207.0,269.0,334.0,357.0,365.0,311.0,369.0,276.0,357.0,303.0,288.0,288.0,276.0,274.38461538461536,298.7564102564103,0.0,0.0,0.0,C
384,215,219,238,165,265,465.0,415.0,334.0,311.0,434.0,361.0,361.0,361.0,369.0,246.0,276.0,284.0,319.0,289.3333333333333,256.0,281.0,275.15384615384613,298.97435897435895,0.0,0.0,0.0,C
